dos,pt_occupancy,mode,seed,avg_passenger_delay,avg_pt_passenger_delay,avg_general_delay,n_cars,n_buses,runtime_s
0.4,20,katc2,1,146.552,147.553,146.207,1664,43,95.4
0.4,20,katc1,1,184.6,183.245,184.993,1972,43,90.4
0.4,20,fixed,1,165.073,151.114,169.085,2041,44,72.3
0.4,30,katc2,1,146.666,147.553,146.207,1664,43,92.4
0.4,30,katc1,1,184.462,183.245,184.993,1972,43,93.4
0.4,30,fixed,1,163.671,151.114,169.085,2041,44,67.9
0.4,40,katc2,1,146.756,147.553,146.207,1664,43,84.4
0.4,40,katc1,1,184.351,183.245,184.993,1972,43,93.5
0.4,40,fixed,1,162.525,151.114,169.085,2041,44,65.7
0.4,50,katc2,1,146.83,147.553,146.207,1664,43,92.7
0.4,50,katc1,1,184.258,183.245,184.993,1972,43,87.0
0.4,50,fixed,1,161.571,151.114,169.085,2041,44,67.2
0.4,60,katc2,1,146.891,147.553,146.207,1664,43,87.5
0.4,60,katc1,1,184.179,183.245,184.993,1972,43,90.1
0.4,60,fixed,1,160.764,151.114,169.085,2041,44,65.8
0.5,20,katc2,1,195.776,179.594,199.539,2064,36,89.2
0.5,20,katc1,1,182.068,206.751,176.912,1915,30,91.4
0.5,20,fixed,1,160.011,161.419,159.656,2222,42,69.5
0.5,30,katc2,1,194.381,179.594,199.539,2064,36,90.8
0.5,30,katc1,1,184.03,206.751,176.912,1915,30,90.2
0.5,30,fixed,1,160.139,161.419,159.656,2222,42,67.9
0.5,40,katc2,1,193.207,179.594,199.539,2064,36,90.1
0.5,40,katc1,1,185.704,206.751,176.912,1915,30,91.0
0.5,40,fixed,1,160.247,161.419,159.656,2222,42,68.3
0.5,50,katc2,1,192.206,179.594,199.539,2064,36,89.5
0.5,50,katc1,1,187.148,206.751,176.912,1915,30,88.6
0.5,50,fixed,1,160.337,161.419,159.656,2222,42,69.2
0.5,60,katc2,1,191.343,179.594,199.539,2064,36,95.2
0.5,60,katc1,1,188.407,206.751,176.912,1915,30,90.8
0.5,60,fixed,1,160.415,161.419,159.656,2222,42,68.0
0.6,20,katc2,1,157.311,157.706,157.215,1424,26,93.6
0.6,20,katc1,1,214.445,260.942,205.275,1893,28,92.1
0.6,20,fixed,1,163.439,178.696,160.128,2273,37,71.3
0.6,30,katc2,1,157.346,157.706,157.215,1424,26,98.5
0.6,30,katc1,1,217.983,260.942,205.275,1893,28,96.5
0.6,30,fixed,1,164.688,178.696,160.128,2273,37,77.1
0.6,40,katc2,1,157.376,157.706,157.215,1424,26,96.6
0.6,40,katc1,1,221.021,260.942,205.275,1893,28,99.8
0.6,40,fixed,1,165.748,178.696,160.128,2273,37,72.6
0.6,50,katc2,1,157.401,157.706,157.215,1424,26,93.4
0.6,50,katc1,1,223.658,260.942,205.275,1893,28,95.0
0.6,50,fixed,1,166.659,178.696,160.128,2273,37,72.7
0.6,60,katc2,1,157.422,157.706,157.215,1424,26,93.5
0.6,60,katc1,1,225.968,260.942,205.275,1893,28,94.0
0.6,60,fixed,1,167.45,178.696,160.128,2273,37,72.1
0.7,20,katc2,1,139.365,178.569,131.245,1030,16,98.0
0.7,20,katc1,1,201.965,189.436,204.034,1938,24,95.9
0.7,20,fixed,1,158.682,128.279,164.614,2255,33,76.6
0.7,30,katc2,1,142.463,178.569,131.245,1030,16,99.2
0.7,30,katc1,1,201.136,189.436,204.034,1938,24,95.3
0.7,30,fixed,1,156.388,128.279,164.614,2255,33,76.9
0.7,40,katc2,1,145.107,178.569,131.245,1030,16,99.6
0.7,40,katc1,1,200.41,189.436,204.034,1938,24,94.4
0.7,40,fixed,1,154.415,128.279,164.614,2255,33,76.8
0.7,50,katc2,1,147.39,178.569,131.245,1030,16,97.8
0.7,50,katc1,1,199.768,189.436,204.034,1938,24,94.4
0.7,50,fixed,1,152.701,128.279,164.614,2255,33,76.1
0.7,60,katc2,1,149.381,178.569,131.245,1030,16,98.2
0.7,60,katc1,1,199.198,189.436,204.034,1938,24,95.8
0.7,60,fixed,1,151.198,128.279,164.614,2255,33,75.1
0.8,20,katc2,1,146.918,132.327,149.695,1261,18,101.5
0.8,20,katc1,1,140.47,138.914,140.684,2037,21,97.7
0.8,20,fixed,1,152.547,112.052,159.894,2425,33,79.4
0.8,30,katc2,1,145.838,132.327,149.695,1261,18,101.6
0.8,30,katc1,1,140.382,138.914,140.684,2037,21,96.9
0.8,30,fixed,1,149.659,112.052,159.894,2425,33,79.4
0.8,40,katc2,1,144.907,132.327,149.695,1261,18,107.7
0.8,40,katc1,1,140.303,138.914,140.684,2037,21,100.5
0.8,40,fixed,1,147.155,112.052,159.894,2425,33,79.5
0.8,50,katc2,1,144.096,132.327,149.695,1261,18,101.4
0.8,50,katc1,1,140.232,138.914,140.684,2037,21,101.5
0.8,50,fixed,1,144.965,112.052,159.894,2425,33,87.8
0.8,60,katc2,1,143.383,132.327,149.695,1261,18,103.9
0.8,60,katc1,1,140.167,138.914,140.684,2037,21,99.5
0.8,60,fixed,1,143.031,112.052,159.894,2425,33,83.2
0.9,20,katc2,1,215.98,280.405,207.215,1960,20,106.6
0.9,20,katc1,1,228.351,260.708,223.547,1886,21,97.2
0.9,20,fixed,1,154.645,155.876,154.449,2516,30,83.7
0.9,30,katc2,1,219.62,280.405,207.215,1960,20,101.5
0.9,30,katc1,1,230.316,260.708,223.547,1886,21,104.0
0.9,30,fixed,1,154.724,155.876,154.449,2516,30,83.6
0.9,40,katc2,1,222.871,280.405,207.215,1960,20,102.6
0.9,40,katc1,1,232.055,260.708,223.547,1886,21,101.7
0.9,40,fixed,1,154.793,155.876,154.449,2516,30,87.8
0.9,50,katc2,1,225.791,280.405,207.215,1960,20,114.6
0.9,50,katc1,1,233.606,260.708,223.547,1886,21,105.2
0.9,50,fixed,1,154.855,155.876,154.449,2516,30,87.7
0.9,60,katc2,1,228.43,280.405,207.215,1960,20,108.0
0.9,60,katc1,1,234.998,260.708,223.547,1886,21,107.7
0.9,60,fixed,1,154.91,155.876,154.449,2516,30,99.8
1.0,20,katc2,1,163.318,189.893,158.898,1603,20,135.7
1.0,20,katc1,1,209.055,235.929,205.63,1988,19,121.9
1.0,20,fixed,1,165.623,126.822,171.497,2466,28,121.8
1.0,30,katc2,1,165.087,189.893,158.898,1603,20,155.4
1.0,30,katc1,1,210.492,235.929,205.63,1988,19,162.5
1.0,30,fixed,1,163.229,126.823,171.497,2466,28,142.7
1.0,40,katc2,1,166.635,189.893,158.898,1603,20,164.8
1.0,40,katc1,1,211.784,235.929,205.63,1988,19,163.1
1.0,40,fixed,1,161.114,126.822,171.497,2466,28,132.2
1.0,50,katc2,1,168.002,189.893,158.898,1603,20,156.6
1.0,50,katc1,1,212.95,235.929,205.63,1988,19,160.0
1.0,50,fixed,1,159.231,126.823,171.497,2466,28,97.6
1.0,60,katc2,1,169.216,189.893,158.898,1603,20,119.0
1.0,60,katc1,1,214.01,235.929,205.63,1988,19,112.3
1.0,60,fixed,1,157.544,126.823,171.497,2466,28,122.7
